Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
YCbCr,17,6967,1.6185999993467703,617.8178675420592,0.0
YCbCr,18,7038,1.4281999992817873,700.1820476844136,0.0
YCbCr,19,7007,1.5276000012818258,654.6216281493121,100.0
YCbCr,20,6726,1.5229000000545057,656.6419331303496,0.0
YCbCr,21,6534,1.7912999992404366,558.2537824060901,0.0
YCbCr,22,6610,2.358599998842692,423.9803275208496,0.0
YCbCr,23,7509,1.690200000666664,591.6459588247372,0.0
YCbCr,24,6465,1.4131000007182593,707.6640007725665,0.0
YCbCr,25,6997,1.8123999998351792,551.7545796131873,0.0
YCbCr,26,6626,1.4188999994075857,704.7713020068479,0.0
YCbCr,27,6981,1.8548999996710336,539.1126207220605,100.0
YCbCr,28,6797,1.4062999998714076,711.0858281244687,0.0
YCbCr,29,7371,1.3634000006277347,733.4604661431579,0.0
YCbCr,30,7155,2.139599999281927,467.37707998486206,0.0
YCbCr,31,7007,1.60179999875254,624.297665612927,0.0
YCbCr,32,7120,1.4658000000054017,682.2213125912914,0.0
YCbCr,33,7201,1.4425999997911276,693.1928463501932,0.0
YCbCr,34,7612,1.6487000011693453,606.5384844366756,0.0
YCbCr,35,7512,1.531200001409161,653.0825490332429,37.5
YCbCr,36,6714,1.5418999992107274,648.5504899876017,0.0
YCbCr,37,6557,1.4352999987750081,696.7184566665327,0.0
YCbCr,38,7186,1.6210000012506498,616.9031457300865,0.0
YCbCr,39,6561,1.78559999949357,560.0358424527436,0.0
YCbCr,40,6653,1.5369000011560274,650.660419837217,0.0
YCbCr,41,6965,1.49039999996603,670.960815903645,0.0
YCbCr,42,6505,1.482600000599632,674.4907592037999,0.0
YCbCr,43,6099,1.6006999994715443,624.726682282839,0.0
YCbCr,44,5900,1.392999998643063,717.8750904336764,75.0
YCbCr,45,7287,1.5049999983602902,664.4518279664507,0.0
YCbCr,46,6774,1.740399999107467,574.5805564886417,0.0
YCbCr,47,2807,1.3809000010951422,724.1653988029082,0.0
YCbCr,48,1835,1.656800001001102,603.5731527014497,0.0
YCbCr,49,1957,1.7128999988926807,583.8052429484843,0.0
YCbCr,50,934,1.3252000007923925,754.6030783293527,0.0
YCbCr,51,7482,1.691099998424761,591.3310868260231,0.0
YCbCr,52,7273,1.4783000005991198,676.4526818607345,0.0
YCbCr,53,7279,1.6025000004447065,624.0249608252681,25.0
YCbCr,54,6846,1.4669000011053868,681.7097274841142,0.0
YCbCr,55,7058,1.5834999994694954,631.5124725828988,0.0
YCbCr,56,8014,1.470799999879091,679.9020941543421,0.0
YCbCr,57,6900,1.6138000009959796,619.6554711753846,0.0
YCbCr,58,6735,1.9057999998040032,524.7140309071478,0.0
YCbCr,59,6446,1.4778999993723119,676.63576725402,0.0
YCbCr,60,7115,1.7478999998274958,572.1151096165069,0.0
YCbCr,61,7134,1.6297000001941342,613.609866773564,62.5
YCbCr,62,7310,1.465999999709311,682.1282402443978,0.0
YCbCr,63,7178,1.4071000005060341,710.6815433447309,0.0
YCbCr,64,7208,1.3689999996131519,730.4601901260608,0.0
YCbCr,65,7009,1.5198000000964385,657.9813132889494,0.0
YCbCr,66,6778,1.3730999999097548,728.2790765899961,0.0
YCbCr,67,7491,1.793000001271139,557.7244837094561,0.0
YCbCr,68,7019,1.577200000610901,634.0349984863476,0.0
YCbCr,69,6920,1.5869999988353811,630.119723209735,0.0
YCbCr,70,6519,1.5014000000519445,666.0450246206225,62.5
YCbCr,71,7221,1.3944000002084067,717.1543315049772,0.0
YCbCr,72,6825,1.6027999990910757,623.9081610725514,0.0
YCbCr,73,6430,1.4465000003838213,691.3238850567958,0.0
YCbCr,74,7261,1.3564000000769738,737.2456502088259,0.0
YCbCr,75,7273,1.4012999999977183,713.6230642986001,0.0
YCbCr,76,6852,1.775499998984742,563.2216280325628,0.0
YCbCr,77,7293,1.5359999997599516,651.0416667684125,0.0
YCbCr,78,7735,1.7881000003399095,559.2528381018426,0.0
YCbCr,79,7035,1.450499999918975,689.4174422998001,87.5
YCbCr,80,6850,1.7001999985950533,588.1660985921316,0.0
YCbCr,81,7245,1.3924000013503246,718.1844290650804,0.0
YCbCr,82,7019,1.3883999999961816,720.2535292442742,0.0
YCbCr,83,7322,1.655899999605026,603.9012019074372,0.0
YCbCr,84,7178,1.7556000002514338,569.6058326821496,0.0
YCbCr,85,7156,1.5794999999343418,633.1117442491732,0.0
YCbCr,86,6528,2.0863999998255167,479.2944785676902,0.0
YCbCr,87,7352,1.649800000450341,606.1340766923463,50.0
YCbCr,88,7012,1.4461999999184627,691.4672936359981,0.0
YCbCr,89,7006,1.6887000001588603,592.1714928086265,0.0
YCbCr,90,7088,1.4188000004651258,704.8209752411683,0.0
YCbCr,91,7247,1.8386000010650605,543.8920914939204,0.0
YCbCr,92,7178,1.4430999999603955,692.9526713515654,0.0
YCbCr,93,6564,1.3925000002927845,718.1328544271037,0.0
YCbCr,94,7113,1.6485999985889066,606.5752765109391,0.0
YCbCr,95,7163,1.9379999994271202,515.9958721855539,0.0
YCbCr,96,7081,1.377499998852727,725.9528136717721,25.0
YCbCr,97,6973,1.2449000005290145,803.2773713350908,0.0
YCbCr,98,6999,1.8466999990778277,541.5064712727363,0.0
YCbCr,99,7074,1.5272999989974778,654.7502132235983,0.0
YCbCr,100,7340,1.513199998953496,660.8511767721275,0.0
YCbCr,101,6899,1.2671000004047528,789.2036932211882,0.0
YCbCr,102,6947,1.424800000677351,701.8528913002522,0.0
YCbCr,103,6897,1.4702999997098232,680.1333062622315,0.0
